year,province,SAC_code,SAC_name,CTUID,fuel_type,fuel_type_description,value
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050048.00,PHEV,Plug-in hybrid electric vehicles,9
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050048.00,ZEV,All zero-emission vehicles (BEV and PHEV),18
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050049.00,BEV,Battery electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050049.00,PHEV,Plug-in hybrid electric vehicles,8
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050049.00,ZEV,All zero-emission vehicles (BEV and PHEV),12
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050050.00,PHEV,Plug-in hybrid electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050050.00,ZEV,All zero-emission vehicles (BEV and PHEV),1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050051.00,PHEV,Plug-in hybrid electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050051.00,ZEV,All zero-emission vehicles (BEV and PHEV),4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050052.00,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050052.00,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050052.00,ZEV,All zero-emission vehicles (BEV and PHEV),4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050053.00,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050053.00,PHEV,Plug-in hybrid electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050053.00,ZEV,All zero-emission vehicles (BEV and PHEV),6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050054.00,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050054.00,PHEV,Plug-in hybrid electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050054.00,ZEV,All zero-emission vehicles (BEV and PHEV),2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050055.00,PHEV,Plug-in hybrid electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050055.00,ZEV,All zero-emission vehicles (BEV and PHEV),5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050056.00,BEV,Battery electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050056.00,PHEV,Plug-in hybrid electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050056.00,ZEV,All zero-emission vehicles (BEV and PHEV),5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050057.00,BEV,Battery electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050057.00,PHEV,Plug-in hybrid electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050057.00,ZEV,All zero-emission vehicles (BEV and PHEV),7
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050058.00,BEV,Battery electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050058.00,PHEV,Plug-in hybrid electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050058.00,ZEV,All zero-emission vehicles (BEV and PHEV),9
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050059.00,BEV,Battery electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050059.00,PHEV,Plug-in hybrid electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050059.00,ZEV,All zero-emission vehicles (BEV and PHEV),10
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050060.00,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050060.00,ZEV,All zero-emission vehicles (BEV and PHEV),3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050061.00,BEV,Battery electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050061.00,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050061.00,ZEV,All zero-emission vehicles (BEV and PHEV),5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050062.01,BEV,Battery electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050062.01,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050062.01,ZEV,All zero-emission vehicles (BEV and PHEV),5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050100.00,PHEV,Plug-in hybrid electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050100.00,ZEV,All zero-emission vehicles (BEV and PHEV),1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050101.00,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050101.00,PHEV,Plug-in hybrid electric vehicles,12
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050101.00,ZEV,All zero-emission vehicles (BEV and PHEV),13
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050102.00,BEV,Battery electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050102.00,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050102.00,ZEV,All zero-emission vehicles (BEV and PHEV),5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050103.00,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050103.00,ZEV,All zero-emission vehicles (BEV and PHEV),3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050104.00,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050104.00,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050104.00,ZEV,All zero-emission vehicles (BEV and PHEV),3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050110.00,BEV,Battery electric vehicles,6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050110.00,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050110.00,ZEV,All zero-emission vehicles (BEV and PHEV),9
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050120.01,BEV,Battery electric vehicles,6
